title,abstract,authors,year,source,doi,url_of_publication
"The effects of test driven development on internal quality, external quality and productivity: A systematic review","Context: Test Driven Development (TDD) is an agile practice that has gained popularity when it was defined as a fundamental part in eXtreme Programming (XP). Objective: This study analyzed the conclusions of previously published articles on the effects of TDD on internal and external software quality and productivity, comparing TDD with Test Last Development (TLD). Method: In this study, a systematic literature review has been conducted considering articles published between 1999 and 2014. Results: In about 57% of the analyzed studies, the results were validated through experiments and in 32% of them, validation was performed through a case study. The results of this analysis show that 76% of the studies have identified a significant increase in internal software quality while 88% of the studies identified a meaningful increase in external software quality. There was an increase in productivity in the academic environment, while in the industrial scenario there was a decrease in productivity. Overall, about 44% of the studies indicated lower productivity when using TDD compared to TLD. Conclusion: According to our findings, TDD yields more benefits than TLD for internal and external software quality, but it results in lower developer productivity than TLD. © 2016 Elsevier B.V. All rights reserved.",Bissi W.; Serra Seca Neto A.G.; Emer M.C.F.P.,2016,Scopus,10.1016/j.infsof.2016.02.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960077807&doi=10.1016%2fj.infsof.2016.02.004&partnerID=40&md5=ffd9cd1ee43da5e65449d4dd603094d8
A comprehensive survey of TDD-based mobile communication systems from TD-SCDMA 3G to TD-LTE(A) 4G and 5G directions,"TDD (Time Division Duplex) is one of the two duplex modes. TD-SCDMA (Time Division Synchronous CDMA) is the first TDD-based cellular mobile system which is commercialized in wide area and large scale and TD-SCDMA is also the first cellular mobile system which adopted smart antenna technology (also called as beamforming). As the long term evolution of TD-SCDMA, TD-LTE(A) (Time Division-Long Term Evolution, and TD-LTE Advanced) introduced OFDM (Orthogonal Frequency Division Multiplexing) and enhanced smart antenna technology together with MIMO (Multiple Input Multiple Output), which are adopted by LTE FDD (Frequency Division Duplex) either. It is indicated that TD-SCDMA and TD-LTE(A) have opened a sustainable utilization era of TDD and smart antenna technologies in the wireless mobile communication. This paper aims to present a systematic introduction to TDD-based mobile communications from TD-SCDMA to TD-LTE and beyond, with particular focuses on TDD key technologies, principles of TDD cellular mobile systems, TDD evolution path, and future TDD 5G directions. The comparisons between TDD and FDD are also included. We hope that this paper will provide a comprehensive overview of TDD technology upgrade and its standard evolution, and serve as a valuable reference for research on 5G mobile communication systems. It is believed that TDD will play more important role in 5G. © 2013 IEEE.",Chen S.; Sun S.; Wang Y.; Xiao G.; Tamrakar R.,2015,Scopus,10.1109/CC.2015.7084401,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928102300&doi=10.1109%2fCC.2015.7084401&partnerID=40&md5=66e47a83e800f7c7c11e5b1d673cd1f8
Test-driven development of ontologies,"Emerging ontology authoring methods to add knowledge to an ontology focus on ameliorating the validation bottleneck. The verification of the newly added axiom is still one of trying and seeing what the reasoner says, because a systematic testbed for ontology authoring is missing. We sought to address this by introducing the approach of testdriven development for ontology authoring. We specify 36 generic tests, as TBox queries and TBox axioms tested through individuals, and structure their inner workings in an ‘open box’-way, which cover the OWL 2 DL language features. This is implemented as a Protégé plugin so that one can perform a TDD test as a black box test. We evaluated the two test approaches on their performance. The TBox queries were faster, and that effect is more pronounced the larger the ontology is. © Springer International Publishing Switzerland 2016.",Maria Keet C.; Ławrynowicz A.,2016,Scopus,10.1007/978-3-319-34129-3_39,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978977377&doi=10.1007%2f978-3-319-34129-3_39&partnerID=40&md5=3a86855210e56ba8b701f16bdba97b2c
The effect of Test-Driven Development and Behavior-Driven Development on Project Success Factors: A Systematic Literature Review Based Study,"Agile testing approaches test-driven development (TDD), behavior-driven development (BDD); have gained popularity since the introduction of agile practices. The concept of using these approaches in software projects is to help projects succeed. The effect of TDD and BDD on Project success factors namely, cost, time, and customer satisfaction/external quality, remains an area of investigation. Therefore, this study investigates the results of previously published articles on the effect of TDD and BDD on project success factors. A systematic literature review has been conducted considering articles published between 1999 up to 2020. Thirty-one studies were selected and analyzed. 74.1% of studies are experiments, 25.8% are case studies. 67.7% of these studies were performed in an industrial setting, 29.0% were performed in an academic setting and only one study with 3.22% was mixed academic and industrial settings. The result shows that the TDD and the BDD consume more time and cost compared to traditional testing (TLD). Moreover, the TDD as TLD may not necessarily satisfy the customer unlike the BDD appears that achieve customer satisfaction. Although, when TDD compared to BDD, TDD consumed more time and lower customer acceptance than the BDD. © 2021 IEEE.",Abushama H.M.; Alassam H.A.; Elhaj F.A.,2021,Scopus,10.1109/ICCCEEE49695.2021.9429593,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107133513&doi=10.1109%2fICCCEEE49695.2021.9429593&partnerID=40&md5=d319166df0c75cf75c65ae75f08bf3d1
The adaptation of test-driven software processes to industrial automation engineering,"Software components provide an increasing part of added value in automation systems and become more complex to construct and test. Test-driven development (TDD) of software systems has been successfully used for agile development of business software systems. Test cases guide the system implementation and can be executed automatically after software changes (continuous integration & build strategy). However, TDD processes need to be adapted to control automation systems engineering, where real-world systems are challenging to model and to test automatically. In this paper we introduce an adapted TDD process from the business software engineering domain to industrial automation engineering. We identify a set of UML models that enable the systematic derivation of test cases. Based on an initial empirical study we evaluate the adapted TDD process based on an industrial use case to identify strength and limitation of this approach. Major results of the study were that UML models enabled effective test case derivation in the study context. © 2010 IEEE.",Hametner R.; Winkler D.; Östreicher T.; Biffl S.; Zoitl A.,2010,Scopus,10.1109/INDIN.2010.5549620,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956566051&doi=10.1109%2fINDIN.2010.5549620&partnerID=40&md5=96b208508eb12d175a70ed72cc352909
Test-Driven Development - Still a promising approach?,"Test-Driven Development (TDD) has been regarded as a useful practice during the last decade as well in industry as in academia. It has been suggested to have several benefits in software development process. This paper is focused on the reported empirical research on TDD. A systematic literature review was conducted in order to analyze the current empirical evidence. Based on the review data, TDD may improve external code quality, but it also leads to increase in development time. However, there are a lot of contradictory results and it raises a question about the actual factors behind them. More systematic research, specifically controlled experiments and well reported case studies, is needed in order to better understand TDD. © 2010 IEEE.",Kollanus S.,2010,Scopus,10.1109/QUATIC.2010.73,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78751547723&doi=10.1109%2fQUATIC.2010.73&partnerID=40&md5=8c075c1b4a87c893a4fa786a94699372
The Perception of Test Driven Development in Computer Science - Outline for a Structured Literature Review,"Test driven development (TDD) is a practice that aims to improve product quality and maintainability by interweaving the design and implementation with its testing. It is most prominent in the software development domain. However, its usefulness is not undisputed, making it a somewhat controversial topic. Besides giving a short introduction regarding the principles of TDD, the publication at hand motivates and outlines a structured literature review to obtain new insights regarding the perception of TDD in computer science, hopefully contributing to the corresponding discourse. Furthermore, by already conducting the first steps of the review, it provides a first impression regarding the vastness of the potentially relevant literature base and gives a rough indication regarding the extend that is to be expected for the completed work.","Lautenschlager, Erik",2022,"BUSINESS INFORMATION SYSTEMS WORKSHOPS, BIS 2021",10.1007/978-3-031-04216-4_13,https://doi.org/10.1007/978-3-031-04216-4_13
Identifying Guidelines for Test-Driven Development in Software Engineering-A Literature Review,"With the significance, ubiquity, and complexity of information technology continuously rising, the corresponding quality assurance becomes increasingly important and challenging. Consequently, numerous tools, techniques, paradigms, and strategies that facilitate the quality assurance of the developed applications have emerged. Test-driven development (TDD) is one of those strategies. In contrast to the traditional approach, it places testing ahead of the actual implementation, which, in turn, also heavily influences the system's design. With the approach being rather complex, naturally, guidance on its correct application is one of the most relevant aspects for many practitioners. To provide assistance to them, but also to researchers concerned with the domain, the publication at hand identifies twenty guidelines for the practical application of TDD in software engineering, by conducting a structured literature review. In doing so, it provides a solid foundation for the implementation of corresponding endeavors as well as a starting point for further discussion.","Staegemann, Daniel; Volk, Matthias; Pohl, Matthias; Haertel, Christian; Hintsch, Johannes; Turowski, Klaus",2023,"PROCEEDINGS OF SEVENTH INTERNATIONAL CONGRESS ON INFORMATION AND COMMUNICATION TECHNOLOGY, VOL 4",10.1007/978-981-19-2397-5_30,https://doi.org/10.1007/978-981-19-2397-5_30
Considering rigor and relevance when evaluating test driven development: A systematic review,"Context: Test driven development (TDD) has been extensively researched and compared to traditional approaches (test last development, TLD). Existing literature reviews show varying results for TDD. Objective: This study investigates how the conclusions of existing literature reviews change when taking two study quality dimension into account, namely rigor and relevance. Method: In this study a systematic literature review has been conducted and the results of the identified primary studies have been analyzed with respect to rigor and relevance scores using the assessment rubric proposed by Ivarsson and Gorschek 2011. Rigor and relevance are rated on a scale, which is explained in this paper. Four categories of studies were defined based on high/low rigor and relevance. Results: We found that studies in the four categories come to different conclusions. In particular, studies with a high rigor and relevance scores show clear results for improvement in external quality, which seem to come with a loss of productivity. At the same time high rigor and relevance studies only investigate a small set of variables. Other categories contain many studies showing no difference, hence biasing the results negatively for the overall set of primary studies. Given the classification differences to previous literature reviews could be highlighted. Conclusion: Strong indications are obtained that external quality is positively influenced, which has to be further substantiated by industry experiments and longitudinal case studies. Future studies in the high rigor and relevance category would contribute largely by focusing on a wider set of outcome variables (e.g. internal code quality). We also conclude that considering rigor and relevance in TDD evaluation is important given the differences in results between categories and in comparison to previous reviews. (C) 2014 Elsevier B.V. All rights reserved.","Munir, Hussan; Moayyed, Misagh; Petersen, Kai",2014,INFORMATION AND SOFTWARE TECHNOLOGY,10.1016/j.infsof.2014.01.002,https://doi.org/10.1016/j.infsof.2014.01.002
Test-Driven Development - Still a Promising Approach?,"Test-Driven Development (TDD) has been regarded as a useful practice during the last decade as well in industry as in academia. It has been suggested to have several benefits in software development process. This paper is focused on the reported empirical research on TDD. A systematic literature review was conducted in order to analyze the current empirical evidence. Based on the review data, TDD may improve external code quality, but it also leads to increase in development time. However, there are a lot of contradictory results and it raises a question about the actual factors behind them. More systematic research, specifically controlled experiments and well reported case studies, is needed in order to better understand TDD.","Kollanus, Sami",2010,QUATIC 2010: SEVENTH INTERNATIONAL CONFERENCE ON THE QUALITY OF INFORMATION AND COMMUNICATIONS TECHNOLOGY,10.1109/QUATIC.2010.73,https://doi.org/10.1109/QUATIC.2010.73
Modeling and Performance Analysis of Scrumban with Test-Driven Development using Discrete Event and Fuzzy Logic,"Project management in the software industry has been constantly evolving its development practices. One practice that has been standing out in recent years is Test Driven Development (TDD). However, there is no consensus in the literature about the impact of TDD on the productivity of development teams. Furthermore, no studies were found that analyzed the productivity impact of TDD practitioners in relation to the variations of total project term and complexity of product. Based on three case studies, organized in 18 scenarios, this work used modeling and discrete-event simulation to investigate the impact of TDD on team productivity. The results showed that both factors, total project duration and product complexity, do influence the productivity of the software development team that adopts TDD practice and the most advantageous scenarios were identified. A Fuzzy Logical System was also implemented that recommends TDD based on these two variables.","Sambinelli, Fernando; Ursini, Edson L.; Borges, Marcos A. F.; Martins, Paulo S.",2018,2018 6TH INTERNATIONAL CONFERENCE IN SOFTWARE ENGINEERING RESEARCH AND INNOVATION (CONISOFT 2018),10.1109/CONISOFT.2018.00029,https://doi.org/10.1109/CONISOFT.2018.00029
Call admission control in the uplink for WCDMA TDD systems,"A new call admission control algorithm in the uplink is proposed for 3G WCDMA TDD systems. The call admission control algorithm guarantees that the outage probability requirement can be met for the new user and existing users in the system. The algorithm allocates resource based on dynamic SIR requirement, and optimizes the outage probability for the assignment. Performance of the proposed algorithm and other algorithms in the technical literature are obtained in simulation and compared in different system scenarios.","Zhang, GD",2002,"5TH INTERNATIONAL SYMPOSIUM ON WIRELESS PERSONAL MULTIMEDIA COMMUNICATIONS, VOLS 1-3, PROCEEDINGS",,https://doi.org/
Improving business agility through technical solutions: A case study on test-driven development in mobile software development,"This paper maintains that efficient business agility requires actions from all levels of the organization in order to strive for success in a turbulent business environment. Agility and agile software development solutions are suggested as yielding benefit in a volatile environment, which is characterized by continuously changing requirements and unstable development technologies. Test-driven development (TDD) is an agile practice where the tests are written before the actual program code. TDD is a technical enabler for increasing agility at the developer and product project levels. Existing empirical literature on TDD has demonstrated increased productivity and more robust code, among other important benefits. This paper reports results of a case study where a mobile application was developed for global markets, using the TDD approach. Our first results show that the adoption of TDD is difficult and the potential agility benefits may not be readily available. The lessons learned from the case study are presented.","Abrahamsson, P; Hanhineva, A; Jaalinoja, J",2005,BUSINESS AGILITY AND INFORMATION TECHNOLOGY DIFFUSION,,https://doi.org/
Two Models for Noisy Feedback in MIMO Channels,"Two distinct models of feedback, suited for FDD (Frequency Division Duplex) and TDD (Frequency Division Duplex) systems respectively, have been widely studied in the literature. In this paper, we compare these two models of feedback in terms of the diversity multiplexing tradeoff for varying amount of channel state information at the terminals. We find that, when all imperfections are accounted for, the maximum achievable diversity order in FDD systems matches the diversity order in TDD systems. TDD systems achieve better diversity order at higher multiplexing gains. In FDD systems, the maximum diversity order can be achieved with just a single bit of feedback. Additional bits of feedback (perfect or imperfect) do not affect the diversity order if the receiver does not know the channel state information.","Aggarwal, Vaneet; Krishna, Gajanana; Bhashyam, Srikrishna; Sabharwal, Ashutosh",2008,"2008 42ND ASILOMAR CONFERENCE ON SIGNALS, SYSTEMS AND COMPUTERS, VOLS 1-4",10.1109/ACSSC.2008.5074502,https://doi.org/10.1109/ACSSC.2008.5074502
A Comprehensive Performance Analysis of LTE and Mobile WiMAX,"LTE (3GPP Release8) and Mobile WiMAX (IEEE 802.16e) are discussed extensively as choices for the next generation of mobile broadband technologies. In this paper, LTE and Mobile WiMAX are analyzed comprehensively from a physical layer performance point of view for different antenna diversity modes in downlink and uplink transmissions. The objective of this study is to fill the current gaps in published literature for comparative in-depth analysis of the performance of LTE and Mobile WiMAX. Our study considers maximum channel bandwidth and the least control information overhead for both protocols. Performance comparison results for different scenarios of TDD (Time Division Duplex) operation in similar configurations suggest that LTE in general outperforms Mobile WiMAX. The throughput comparison of FDD (Frequency Division Duplex) and TDD operations is also presented in this paper to provide a complete discussion of physical layer maximum throughput in LTE.","Rezaei, Fahimeh; Hempel, Michael; Sharif, Hamid",2012,2012 8TH INTERNATIONAL WIRELESS COMMUNICATIONS AND MOBILE COMPUTING CONFERENCE (IWCMC),,https://doi.org/
"The effects of test driven development on internal quality, external quality and productivity: A systematic review","Context: Test Driven Development (TDD) is an agile practice that has gained popularity when it was defined as a fundamental part in eXtreme Programming (XP). Objective: This study analyzed the conclusions of previously published articles on the effects of TDD on internal and external software quality and productivity, comparing TDD with Test Last Development (TLD). Method: In this study, a systematic literature review has been conducted considering articles published between 1999 and 2014. Results: In about 57% of the analyzed studies, the results were validated through experiments and in 32% of them, validation was performed through a case study. The results of this analysis show that 76% of the studies have identified a significant increase in internal software quality while 88% of the studies identified a meaningful increase in external software quality. There was an increase in productivity in the academic environment, while in the industrial scenario there was a decrease in productivity. Overall, about 44% of the studies indicated lower productivity when using TDD compared to TLD. Conclusion: According to our findings, TDD yields more benefits than TLD for internal and external software quality, but it results in lower developer productivity than TLD. (C) 2016 Elsevier B.V. All rights reserved.","Bissi, Wilson; Serra Seca Neto, Adolfo Gustavo; Figueiredo Pereira Emer, Maria Claudia",2016,INFORMATION AND SOFTWARE TECHNOLOGY,10.1016/j.infsof.2016.02.004,https://doi.org/10.1016/j.infsof.2016.02.004
Assessing The Effectiveness Of Test-Driven Development and Behavior-Driven Development in an Industry Setting,"Agile software development deviates from the traditional and plan-based approaches to software engineering as its iterative cycles embrace changes in software requirements. Test-Driven Development (TDD) and Behavior-Driven Development (BDD) are techniques that have been recently adopted by the software industry and have evolved from agile practices. These techniques aim at improving both the quality of the delivered software and the developers' productivity. They are several studies that have been conducted on TDD in both academic and industry settings with however only a few on BDD. While TDD and BDD have both become popular, many organizations and developers still do not understand the differences between these concepts or where they overlap. The aim of this paper is to assess the effectiveness of these two approaches in terms of external code quality, internal code quality and developers' productivity. To understand the weaknesses and strengths of each of these methods, a literature review was first performed. An experiment was then carried out in an industry setting to observe the effectiveness of TDD and BDD on a number of subjects. Our results showed that both techniques indeed increased the external quality of the delivered product. However, a decrease in productivity and internal quality were noted when BDD was used compared to TDD which might be due to the additional steps involved in BDD.","Dookhun, Avishek Sharma; Nagowah, Leckraj",2019,PROCEEDINGS OF 2019 INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND KNOWLEDGE ECONOMY (ICCIKE' 2019),,https://doi.org/
Frame Structure Design for Massive MIMO Systems-PHY Perspective,"In wireless communications, massive multiple-input multiple-output (MIMO) systems in which the base station (BS) is equipped with a large number of antennas can provide significant spectral and energy efficiency by means of simple signal processing. Therefore, massive MIMO is an attractive technology for next generation wireless conununication systems and for green communications. There are two operation modes: time-division duplex (TDD) and frequency-division duplex (FDD) for massive MIMO systems, and the debate on the two modes is still discussed in the literature. The originator of massive MIMO systems, Marzetta, has presented the basic frame structures for both the TDD and the FDD modes. However, the basic frame structures do not carefully take the hardware impairments such as phase noise (PN) into account. In this paper, by taking the PN as the key hardware impairment into account, we recommend new and efficient frame structures for both the TDD and the EDI) modes. The corresponding performance comparison between the two modes is also provided by using the data transmission efficiency (DTE) as the performance measurement. The comparison may help determine which mode should he used for massive MIMO systems.","Wang, Yi-Fan; Lee, Ju-Hong",2018,2018 IEEE WIRELESS COMMUNICATIONS AND NETWORKING CONFERENCE (WCNC),,https://doi.org/
An Analytical Framework for Effective Joint Scheduling Over TDD-Based Mobile Networks,"The growing demand for data along with the emergence of new communication standards have reshaped wireless networks through a denser base station deployment, an increasing traffic heterogeneity, and an additional complexity in quality of service (QoS) assurance. Orthogonal Frequency Division Multiple Access (OFDMA) is considered as one technique to be used in next generation wireless networks. Utilizing time division duplexing (TDD) aids the management of resources and providing effective QoS. In the literature, common approaches in assessing effectiveness attempt to capture performance using single indicators that reflect one aspect of the network's operation. consequently, multi-objective evaluations are not easy and require intuitively considering isolated descriptions, plots, visualizations, and holistically performing multiple comparisons. In this paper, we propose an analytical framework that aims to classify the effectiveness of joint scheduling algorithms over TDD-OFDMA networks per combined heterogeneous properties. In the suggested framework, a designer benefits from a bouquet of carefully customized indicators that can lead to quality evaluations, performance classifications beyond traditional approaches, and accurate improvements. Validation includes exhaustive simulations and the assessment of different scheduling and performance classification schemes. The obtained results confirm the validity of the framework and confirms its effectiveness in application.","Damaj, Issam W.; El Hajj, Ahmad M.; Mouftah, Hussein T.",2019,IEEE ACCESS,10.1109/ACCESS.2019.2945849,https://doi.org/10.1109/ACCESS.2019.2945849
Joint Optimization of User Association and Dynamic TDD for Ultra-Dense Networks,"tlltra-dense small cell networks will require sophisticated user association algorithms that consider (i) channel characteristics, (ii) base station load, and (iii) uplinkldownlink (UL/DL) traffic profiles. They will also be characterized by high spatio-temporal variability in UL/DL traffic demand, due to the fewer users per BS. In this direction,l)ynamic TDD is a promising new technique to match BS resources to actual demand. While plenty of literature exists on the problem of user association, and some recent on dynamic TI)I), most works consider these separately. In this paper, we argue that user association policies are strongly coupled with the allocation of resources between UL and DL. We propose an algorithm that decomposes the problem into separate subproblems that can each be solved efficiently and in a distributed manner, and prove convergence to the global optimum. Simulation results suggest that our approach can improve UL and DL performance at the same time, with an aggregate improvement of more than 2x, compared to user association under static TDD allocation.","Sapountzis, Nikolaos; Spyropoulos, Thrasyvoulos; Nikaein, Navid; Salim, Umer",2018,IEEE CONFERENCE ON COMPUTER COMMUNICATIONS (IEEE INFOCOM 2018),,https://doi.org/
Investigating the Impact of Development Task on External Quality in Test-Driven Development: An Industry Experiment,"Reviews on test-driven development (TDD) studies suggest that the conflicting results reported in the literature are due to unobserved factors, such as the tasks used in the experiments, and highlight that there are very few industry experiments conducted with professionals. The goal of this study is to investigate the impact of a new factor, the chosen task, and the development approach on external quality in an industrial experimental setting with 17 professionals. The participants are junior to senior developers in programming with Java, beginner to novice in unit testing, JUnit, and they have no prior experience in TDD. The experimental design is a 2 x 2 cross-over, i.e., we use two tasks for each of the two approaches, namely TDD and incremental test-last development (ITLD). Our results reveal that both development approach and task are significant factors with regards to the external quality achieved by the participants. More specifically, the participants produce higher quality code during ITLD in which splitting user stories into subtasks, coding, and testing activities are followed, compared to TDD. The results also indicate that the participants produce higher quality code during the implementation of Bowling Score Keeper, compared to that of Mars Rover API, although they perceived both tasks as of similar complexity. An interaction between the development approach and task could not be observed in this experiment. We conclude that variables that have not been explored so often, such as the extent to which the task is specified in terms of smaller subtasks, and developers' unit testing experience might be critical factors in TDD experiments. The real-world appliance of TDD and its implications on external quality still remain to be challenging unless these uncontrolled and unconsidered factors are further investigated by researchers in both academic and industrial settings.","Tosun, Ayse; Dieste, Oscar; Vegas, Sira; Pfahl, Dietmar; Rungi, Kerli; Juristo, Natalia",2021,IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,10.1109/TSE.2019.2949811,https://doi.org/10.1109/TSE.2019.2949811
On Channel Estimation of Uplink TDD Massive MIMO Systems Through Different Pilot Structures,"This work is considered as a comparative study in which the quality of channel estimation (CE) in massive multiple-input multiple-output (M-MIMO) systems is studied by operating atUplink (UL) phase according to a time division duplex (TDD) scheme using commonly known channel estimators existing in the literature. The least squares (LS) and minimum mean square error (MMSE) channel estimators are investigated with three categories of pilots, namely regular pilots (RPs), time-superimposed (or superimposed) pilots and staggered pilots (StP). Two patterns of frequency reuse (FR) per category are used. The simulation results showed that by increasing the number of BS antennas with a fixed number of symbols dedicated to the UL phase and vice versa, the normalized mean square error (NMSE) of the LS and MMSE estimators using the superimposed pilot (SuP) or StP is asymptotically approaches the NMSE of the LS and MMSE estimators using the RP, respectively. An asymptotic behavior is studied for two different FR scenarios.","Amadid, Jamal; Boulouird, Mohamed; Riadi, Abdelhamid; Hassani, Moha M'Rabet",2022,"NETWORKING, INTELLIGENT SYSTEMS AND SECURITY",10.1007/978-981-16-3637-0_12,https://doi.org/10.1007/978-981-16-3637-0_12
Research on Coverage and Networking Capability of 5G 40M FDD Bandwidth Enhancement Compared with 100M TDD,"3GPP Release 16 will freeze the 2.1GHz FDD NR enhanced 40M large bandwidth standard in July 2020. At present, a small number of terminals have experimental capability. In the 3.5GHz TDD NR network with 100M bandwidth, how to use 2.1GHz FDD NR has become a hot issue in the industry. This paper compares the coverage and capacity of 2.1GHz FDD NR and 3.5GHz TDD NR through link budget and theoretical calculation; compares the uplink and downlink coverage of the two systems through single station pull-out experiment; selects the existing network with 2.1GHz FDD NR and 3.5GHz TDD NR deployed at the same site as the experimental site, and analyzes the uplink and downlink networking capacity of the two systems through Driving Test (DT). Considering the influence of the number of transmitting antennas of existing terminals and the transmitting power of network equipment on the network planning, the network capacity of this experiment includes 2.1GHz 4T4R and 3.5G 64TR, the terminal capacity includes 2.1GHz 1T4R, 2.1GHz 2T4R and 3.5GHz 2T4R, and the power consumption of network equipment involves 2.1GHz: 4x4OW and 4x6OW; 3.5GHz: 160W and 200W. At present, there is no literature about the existing network experiment of multi-power consumption and multiterminal type, so this paper has important reference significance for operators to deploy 2.1GHz+3.5GHz network.","Zhou, Yuetian; Wei, Mingshuo; Hu, Chunlei; Xu, Xiaohang; Xie, Weiliang",2021,2021 9TH INTERNATIONAL CONFERENCE ON INTELLIGENT COMPUTING AND WIRELESS OPTICAL COMMUNICATIONS (ICWOC),10.1109/ICWOC52624.2021.9529964,https://doi.org/10.1109/ICWOC52624.2021.9529964
Non-linear frequency synchronization algorithm for TDD-LCR system,"The frequency synchronization procedure is essential to a mobile set in order to calibrate its reference oscillator. In TDD Low Chip Rate (LCR) UMTS system after the frequency scan procedure; which aims to find the carrier frequency, an error as great as 20 kHz is expected [1]. The requested maximum frequency offset, between the local oscillator and the Node B oscillator is 200 Hz (0.1 ppm). The aim of this paper is to present a frequency recovery algorithm suited for the TDDLCR system and to verify if the requested precision of 0.1 ppm is reachable with the proposed frame format [2]. Many data aided frequency estimators are proposed in literature [3][4]. In this paper the best suitable estimator for TDDLCR, described in [5], is fitted to the TDDLCR system and an original non linear closed loop approach, which improves performance, is proposed. The performance results show that a combination of an open loop estimation with a closed loop configuration, exploiting two different training sequences, assure a final accuracy of 0.1 ppm, even in the worst environment conditions. The modified non linear recursive algorithm, introduced in the closed loop configuration, is a promising approach to increase accuracy and to reduce convergence time.","Cangemi, C; Ventura, A",2002,"13TH IEEE INTERNATIONAL SYMPOSIUM ON PERSONAL, INDOOR AND MOBILE RADIO COMMUNICATIONS, VOL 1-5, PROCEEDINGS: SAILING THE WAVES OF THE WIRELESS OCEANS",,https://doi.org/
Multicarrier Division Duplex Aided Millimeter Wave Communications,"The existing time-division duplex (TDD) and frequency-division duplex (FDD) techniques rely on a guard time and/or a guard band to avoid self-interference (SI) between the uplink and downlink channels, which results in the wastage of precious spectral resources. The full-duplex (FD) schemes of in-band FD (IBFD), as well as multicarrier division duplex (MDD), may overcome this drawback while retaining the key benefits of both TDD and FDD. Moreover, the MDD exhibits the exclusive benefits of the reduced peak-to-average-power ratio (PAPR) for signal transmission as well as the SI-free signal detection. Against this background, in this paper, we propose a novel FD scheme conceived for frequency-selective millimeter-wave (mmWave) channels, which have not been investigated in the open literature. Furthermore, we propose a novel projection-aided iterative eigenvalue decomposition (P-IEVD) algorithm, which performs null-space SI cancellation in the inherent beamforming structure of mmWave communication. Our simulation results confirm that the MDD is capable of outperforming its half-duplex (HD) counterparts of the TDD/FDD, even the IBFD can only achieve a better bandwidth efficiency than the MDD when a sufficiently high SNR is provided.","Rajashekar, Rakshith; Xu, Chao; Ishikawa, Naoki; Yang, Lie-Liang; Hanzo, Lajos",2019,IEEE ACCESS,10.1109/ACCESS.2019.2930333,https://doi.org/10.1109/ACCESS.2019.2930333
Transmit diversity for TDD systems,"Multiple input multiple output (MIMO) communications have been a hot research area in recent years. Most literature makes the assumption that the channel information is not known at the transmitter but known perfectly at the receiver. We focus on the situation where both the transmitter and the receiver know the channel information. We consider a transmit diversity scheme that maximizes the signal to noise ratio at the receiver. We analyze its performance in terms of capacity, duality and asymptotic behavior. By simulation, we compare this scheme with Alamouti's transmit diversity to show the advantage of utilizing the channel side information to improve the performance of the wireless systems.","Wang, JB; Yao, K",2002,"ADVANCED SIGNAL PROCESSING ALGORITHMS, ARCHITECTURES, AND IMPLEMENTATIONS XII",10.1117/12.453834,https://doi.org/10.1117/12.453834
A Comprehensive Survey of Pilot Contamination in Massive MIMO-5G System,"Massive MIMO has been recognized as a promising technology to meet the demand for higher data capacity for mobile networks in 2020 and beyond. Although promising, each base station needs accurate estimation of the channel state information (CSI), either through feedback or channel reciprocity schemes in order to achieve the benefits of massive MIMO in practice. Time division duplex (TDD) has been suggested as a better mode to acquire timely CSI in massive MIMO systems. The use of non-orthogonal pilot schemes, proposed for channel estimation in multi-cell TDD networks, is considered as a major source of pilot contamination in the literature due to the limitations of coherence time. Given the importance of pilot contamination in massive MIMO systems, we provide an extensive survey on pilot contamination, and identify other possible sources of pilot contamination, which include hardware impairment and non-reciprocal transceivers. We review established theories that have analyzed the effect of pilot contamination on the performance of massive MIMO systems, particularly on achievable rates. Next, we categorize the different proposed mitigation techniques for pilot contamination using the following taxonomy: pilot-based approach and subspace-based approach. Finally, we highlight the open issues, such as training overhead, deployment scenario, computational complexity, use of channel reciprocity, and conclude with broader perspective and a look at future trends in pilot contamination in massive MIMO systems.","Elijah, Olakunle; Leow, Chee Yen; Rahman, Tharek Abdul; Nunoo, Solomon; Iliya, Solomon Zakwoi",2016,IEEE COMMUNICATIONS SURVEYS AND TUTORIALS,10.1109/COMST.2015.2504379,https://doi.org/10.1109/COMST.2015.2504379
