"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Kobashi T.; Yoshizawa M.; Washizaki H.; Fukazawa Y.; Yoshioka N.; Okubo T.; Kaiya H.","Kobashi, Takanori (56001637600); Yoshizawa, Masatoshi (7201681017); Washizaki, Hironori (8905784000); Fukazawa, Yoshiaki (7101986896); Yoshioka, Nobukazu (8105005200); Okubo, Takano (36053580600); Kaiya, Haruhiko (7005774962)","56001637600; 7201681017; 8905784000; 7101986896; 8105005200; 36053580600; 7005774962","TESEM: A tool for verifying security design pattern applications by model testing","2015","2015 IEEE 8th International Conference on Software Testing, Verification and Validation, ICST 2015 - Proceedings","","","7102633","","","","7","10.1109/ICST.2015.7102633","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84935039839&doi=10.1109%2fICST.2015.7102633&partnerID=40&md5=e801ddaf7eab7ee5583acb858a296fde","Because software developers are not necessarily security experts, identifying potential threats and vulnerabilities in the early stage of the development process (e.g., the requirement- or design-phase) is insufficient. Even if these issues are addressed at an early stage, it does not guarantee that the final software product actually satisfies security requirements. To realize secure designs, we propose extended security patterns, which include requirement-and design-level patterns as well as a new model testing process. Our approach is implemented in a tool called TESEM (Test Driven Secure Modeling Tool), which supports pattern applications by creating a script to execute model testing automatically. During an early development stage, the developer specifies threats and vulnerabilities in the target system, and then TESEM verifies whether the security patterns are properly applied and assesses whether these vulnerabilities are resolved. © 2015 IEEE.","Component; Model Testing; Security Patterns; Test-Driven Development; UML","Security of data; Verification; Well testing; Component; Development process; Development stages; Model testing; Security patterns; Security requirements; Test driven development; Threats and vulnerabilities; Software testing","Conference paper","Final","","Scopus","2-s2.0-84935039839"
"Malviya L.; Panigrahi R.K.; Kartikeyan M.V.","Malviya, Leeladhar (57060420400); Panigrahi, Rajib K. (35766594200); Kartikeyan, M.V. (6603631347)","57060420400; 35766594200; 6603631347","Pattern diversity based MIMO antenna for low mutual coupling","2016","2015 IEEE Applied Electromagnetics Conference, AEMC 2015","","","7509132","","","","6","10.1109/AEMC.2015.7509132","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981351766&doi=10.1109%2fAEMC.2015.7509132&partnerID=40&md5=6abaf2bac7e4f2a3887b198ff24dd431","A highly isolated MIMO antenna is proposed with ground modification and pattern diversity techniques to resonate at 3.4 GHz frequency. It covers WLAN, WIMAX, LTE-FDD 22 band, and LTE-TDD 42/43 bands. The designed antenna achieves exact complementary radiation patterns, which confirms to the pattern diversity. The measured result shows 48.4 dB of isolation, and 3.66 dB of gain at resonant. © 2015 IEEE.","","Microwave antennas; GHz frequencies; Ground modification; LTE-FDD; Measured results; MIMO antenna; Mutual coupling; Pattern diversity; Directional patterns (antenna)","Conference paper","Final","","Scopus","2-s2.0-84981351766"
"Scanniello G.; Romano S.; Fucci D.; Turhan B.; Juristo N.","Scanniello, Giuseppe (6506168818); Romano, Simone (57197990135); Fucci, Davide (55766423800); Turhan, Burak (21744228000); Juristo, Natalia (6701344777)","6506168818; 57197990135; 55766423800; 21744228000; 6701344777","Students' and professionals' perceptions of test-driven development: A focus group study","2016","Proceedings of the ACM Symposium on Applied Computing","04-08-April-2016","","","1422","1427","5","17","10.1145/2851613.2851778","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975796948&doi=10.1145%2f2851613.2851778&partnerID=40&md5=974ec3ed5cebd1bf0dac861515b08fbb","We have conducted a qualitative investigation on test-driven development (TDD) with focus groups to develop insights on the opinions of developers using TDD regarding the unintuitive process involved, its claimed effects, as well as the context factors that can facilitate (or hinder) its application. In particular, we conducted two focus group sessions: one with professionals and another with Master students in Computer Science. We used thematic analysis template (TAT) method for identifying patterns, themes, and interpretations in gathered data. We obtained a number of results that can be summarized as follows: (i) applying TDD without knowing advanced unit testing techniques can be difficult; (ii) refactoring (one of the phases of TDD) is not done as often as the process requires; (iii) there is a need for live feedback to let developers understand if TDD is being applied correctly; and (iv) the usefulness of TDD hinges on task and domain to which it is applied to. © 2016 ACM.","Focus group; Qualitative study; Test driven development","Computation theory; Context factors; Focus group studies; Focus groups; ITS applications; Master students; Qualitative study; Test driven development; Thematic analysis; Computer programming","Conference paper","Final","","Scopus","2-s2.0-84975796948"
"","","","SPLASH Companion 2015 - Companion Proceedings of the 2015 ACM SIGPLAN International Conference on Systems, Programming, Languages and Applications: Software for Humanity","2015","SPLASH Companion 2015 - Companion Proceedings of the 2015 ACM SIGPLAN International Conference on Systems, Programming, Languages and Applications: Software for Humanity","","","","","","127","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960417544&partnerID=40&md5=c2ed922a540bb22922af15ae57b8c972","The proceedings contain 50 papers. The topics discussed include: consensus-based mining of API preconditions in big code; custom full-coverage dynamic program analysis for android; heterogeneous device hopping: bridging the mobile cross-platform gap via a declarative query language; making live programming practical by bridging the gap between trial-and-error development and unit testing; demonstrating programming language feature mining using boa; fraglight: shedding light on broken pointcuts in evolving aspect-oriented software; privacy and security constraints for code contributions; Panini: a concurrent programming model with modular reasoning; the spreadsheet paradigm: a basis for powerful and accessible programming; Shiranui: a live programming with support for unit testing; and evaluating work distribution patterns for parallel bitmap compression over SMPs.","","","Conference review","Final","","Scopus","2-s2.0-84960417544"
"Wang L.; Qiao Y.; Tang X.","Wang, Limin (57201266396); Qiao, Yu (36086392600); Tang, Xiaoou (7404101198)","57201266396; 36086392600; 7404101198","Action recognition with trajectory-pooled deep-convolutional descriptors","2015","Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition","07-12-June-2015","","7299059","4305","4314","9","959","10.1109/CVPR.2015.7299059","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955282488&doi=10.1109%2fCVPR.2015.7299059&partnerID=40&md5=33a4701fe8fced836493e99b4385393b","Visual features are of vital importance for human action understanding in videos. This paper presents a new video representation, called trajectory-pooled deep-convolutional descriptor (TDD), which shares the merits of both hand-crafted features [31] and deep-learned features [24]. Specifically, we utilize deep architectures to learn discriminative convolutional feature maps, and conduct trajectory-constrained pooling to aggregate these convolutional features into effective descriptors. To enhance the robustness of TDDs, we design two normalization methods to transform convolutional feature maps, namely spatiotemporal normalization and channel normalization. The advantages of our features come from (i) TDDs are automatically learned and contain high discriminative capacity compared with those hand-crafted features; (ii) TDDs take account of the intrinsic characteristics of temporal dimension and introduce the strategies of trajectory-constrained sampling and pooling for aggregating deep-learned features. We conduct experiments on two challenging datasets: HMD-B51 and UCF101. Experimental results show that TDDs outperform previous hand-crafted features [31] and deep-learned features [24]. Our method also achieves superior performance to the state of the art on these datasets. © 2015 IEEE.","","Computer vision; Convolution; Motion estimation; Trajectories; Action recognition; Channel normalization; Constrained sampling; Deep architectures; Intrinsic characteristics; Normalization methods; Temporal dimensions; Video representations; Pattern recognition","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84955282488"
"Paterson D.; Turner J.; White T.; Fraser G.","Paterson, David (57016189200); Turner, Jonathan (57212570131); White, Thomas (55361024800); Fraser, Gordon (9247521200)","57016189200; 57212570131; 55361024800; 9247521200","Parameter control in search-based generation of unit test suites","2015","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","9275","","","141","156","15","2","10.1007/978-3-319-22183-0_10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951291034&doi=10.1007%2f978-3-319-22183-0_10&partnerID=40&md5=ae1d051fc21ad286864deaaf9f083c51","Search-based testing supports developers by automatically generating test suites with high coverage, but the effectiveness of a search-based test generator depends on numerous parameters. It is unreasonable to expect developers to understand search algorithms well enough to find the optimal parameter settings for a problem at hand, and even if they did, a static value for a parameter can be suboptimal at any given point during the search. To counter this problem, parameter control methods have been devised to automatically determine and adapt parameter values throughout the search. To investigate whether parameter control methods can also improve search-based generation of test suites, we have implemented and evaluated different methods to control the crossover and mutation rate in the EVOSUITE unit test generation tool. Evaluation on a selection of open source Java classes reveals that while parameter control improves the values of mutation and crossover rate successfully during runtime, the positive effects of this improvement are often countered by increased costs of fitness evaluation. © Springer International Publishing Switzerland 2015.","","Automatic test pattern generation; Open source software; Software engineering; Software testing; Testing; Crossover and mutation; Fitness evaluations; Optimal parameter settings; Parameter control; Parameter control method; Search Algorithms; Search-based testing; Unit test generations; Parameter estimation","Conference paper","Final","","Scopus","2-s2.0-84951291034"
"Adesina O.O.","Adesina, Opeyemi O. (56446745000)","56446745000","Integrating formal methods with Model-Driven engineering","2015","CEUR Workshop Proceedings","1531","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962212406&partnerID=40&md5=82fe48a49337d5a032488a82e4425ecd","This paper presents the initial exploration work and proposal for our research to integrate formal methods with model-driven engineering. An extensive literature exists with the goal of facilitating the adoption of formal methods for educational and industrial practices, yet its adoption for teaching introductory software engineering courses and analyzing critical software systems in the industry is poor. The goal of this research is to provide an easy-to-use approach for using formal methods for industrial and academic purposes. Our approach is based on generating formal representations of static and dynamic abstractions of software expressed in a textual language, called Umple, which is derived from UML. To enrich the modeling experience, we adopt a pattern-based approach to specify various object-oriented and transition patterns. To maintain scalability of the dynamic aspects, we adopted a compositional approach to integrate hierarchical systems. To ensure correctness of our approach, we have adopted simulation and rigorous test-driven development methodologies. Current results have demonstrated that the constraints and generated formal methods code represent the patterns faithfully.","Automated code generation; Formal methods; Model checking; Model-driven engineering; Scalability; Software engineering","Computational linguistics; Engineering research; Hierarchical systems; Industrial research; Model checking; Object oriented programming; Scalability; Software engineering; Teaching; Automated code generation; Formal representations; Industrial practices; Initial exploration; Model-driven Engineering; Software engineering course; Test driven development; Transition patterns; Formal methods","Conference paper","Final","","Scopus","2-s2.0-84962212406"
"Sneed H.M.","Sneed, Harry M. (35619782400)","35619782400","Web service test evolution","2016","Lecture Notes in Business Information Processing","238","","","171","185","14","1","10.1007/978-3-319-27033-3_12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952683189&doi=10.1007%2f978-3-319-27033-3_12&partnerID=40&md5=d5d872836813499c4fbc840f41af490e","In order to remain useful test scripts must evolve parallel to the test objects they are intended to test. In the approach described here the test objects are web services whose test script is derived from the web service interface definition. The test script structure is automatically generated from the WSDL structure with tags and attributes, however, the content, i.e. the test data has to be inserted by hand. From this script service requests are automatically generated and service responses automatically validated. As with other generated software artifacts, once the structure of the interface or the logic of the targeted service is changed, the content of the test script is no longer valid. It has to be altered and/or enhanced to fit the new interface structure and/or the altered service logic. In this paper the author proposes a semi-automated approach to solving this test maintenance problem and explains how it has been implemented in a web service testing tool by employing data reverse engineering techniques. The author also report on his experience with the approach when maintaining a test in the field. © Springer International Publishing Switzerland 2016.","Automated web service testing; Data reverse engineering; Regression testing; Requirement-based testing; Test automation; Test maintenance; Test script evolution; Test-driven development; Web services","Automatic test pattern generation; Automation; Computer circuits; Computer software selection and evaluation; Reconfigurable hardware; Reverse engineering; Software design; Software testing; Testing; Websites; Data reverse engineering; Regression testing; Service testing; Test Automation; Test driven development; Test maintenances; Test scripts; Web services","Conference paper","Final","","Scopus","2-s2.0-84952683189"
"Buttu M.; Bartolini M.; Migoni C.; Orlati A.; Poppi S.; Righini S.","Buttu, M. (55553211100); Bartolini, M. (35975770200); Migoni, C. (26644305500); Orlati, A. (6506694018); Poppi, S. (6602635190); Righini, S. (55886658000)","55553211100; 35975770200; 26644305500; 6506694018; 6602635190; 55886658000","Rules of thumb to increase the software quality through testing","2016","Proceedings of SPIE - The International Society for Optical Engineering","9913","","99130B","","","","2","10.1117/12.2230626","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006354934&doi=10.1117%2f12.2230626&partnerID=40&md5=251bca5586ada98cba0425e4e972537c","The software maintenance typically requires 40-80% of the overall project costs, and this considerable variability mostly depends on the software internal quality: the more the software is designed and implemented to constantly welcome new changes, the lower will be the maintenance costs. The internal quality is typically enforced through testing, which in turn also affects the development and maintenance costs. This is the reason why testing methodologies have become a major concern for any company that builds - or is involved in building - software. Although there is no testing approach that suits all contexts, we infer some general guidelines learned during the Development of the Italian Single-dish COntrol System (DISCOS), which is a project aimed at producing the control software for the three INAF radio telescopes (the Medicina and Noto dishes, and the newly-built SRT). These guidelines concern both the development and the maintenance phases, and their ultimate goal is to maximize the DISCOS software quality through a Behavior-Driven Development (BDD) workflow beside a continuous delivery pipeline. We consider different topics and patterns; they involve the proper apportion of the tests (from end-to-end to low-level tests), the choice between hardware simulators and mockers, why and how to apply TDD and the dependency injection to increase the test coverage, the emerging technologies available for test isolation, bug fixing, how to protect the system from the external resources changes (firmware updating, hardware substitution, etc.) and, eventually, how to accomplish BDD starting from functional tests and going through integration and unit tests. We discuss pros and cons of each solution and point out the motivations of our choices either as a general rule or narrowed in the context of the DISCOS project. © COPYRIGHT SPIE. Downloading of the abstract is permitted for personal use only.","BDD; DISCOS; Sardinia radio telescope; TDD; Testing","Boolean functions; Computer software maintenance; Computer software selection and evaluation; Costs; Firmware; Hardware; Maintenance; Radio telescopes; Testing; Dependency injection; DISCOS; Emerging technologies; External resources; Hardware simulators; Sardinia; Software Quality; Testing methodology; Software testing","Conference paper","Final","","Scopus","2-s2.0-85006354934"
"Lee B.; Choi J.; Seol J.-Y.; Love D.J.; Shim B.","Lee, Byungju (25929939400); Choi, Junil (58298267400); Seol, Ji-Yun (55900589300); Love, David J. (7202200691); Shim, Byonghyo (7005216361)","25929939400; 58298267400; 55900589300; 7202200691; 7005216361","Antenna Grouping Based Feedback Compression for FDD-Based Massive MIMO Systems","2015","IEEE Transactions on Communications","63","9","7166317","3261","3274","13","86","10.1109/TCOMM.2015.2460743","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941216867&doi=10.1109%2fTCOMM.2015.2460743&partnerID=40&md5=5f1850505799e19b5bb2b5e60154b1ab","Recent works on massive multiple-input multiple-output (MIMO) have shown that a potential breakthrough in capacity gains can be achieved by deploying a very large number of antennas at the base station. In order to achieve the performance that massive MIMO systems promise, accurate transmit-side channel state information (CSI) should be available at the base station. While transmit-side CSI can be obtained by employing channel reciprocity in time division duplexing (TDD) systems, explicit feedback of CSI from the user terminal to the base station is needed for frequency division duplexing (FDD) systems. In this paper, we propose an antenna grouping based feedback reduction technique for FDD-based massive MIMO systems. The proposed algorithm, dubbed antenna group beamforming (AGB), maps multiple correlated antenna elements to a single representative value using predesigned patterns. The proposed method modifies the feedback packet by introducing the concept of a header to select a suitable group pattern and a payload to quantize the reduced dimension channel vector. Simulation results show that the proposed method achieves significant feedback overhead reduction over conventional approach performing the vector quantization of whole channel vector under the same target sum rate requirement. © 2015 IEEE.","","Antennas; Base stations; Communication channels (information theory); Information retrieval; MIMO systems; Mobile telecommunication systems; Vector quantization; Channel reciprocity; Conventional approach; Correlated antennas; Feedback compressions; Frequency division duplexing; Reduction techniques; Representative values; Time division duplexing; Channel state information","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84941216867"
"Cordemans P.; Van Landschoot S.; Boydens J.; Steegmans E.","Cordemans, Piet (55994787400); Van Landschoot, Sille (55995578700); Boydens, Jeroen (36705788200); Steegmans, Eric (6603562435)","55994787400; 55995578700; 36705788200; 6603562435","Test-driven development as a reliable embedded software engineering practice","2014","Studies in Computational Intelligence","520","","","91","130","39","6","10.1007/978-3-642-40888-5_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958523962&doi=10.1007%2f978-3-642-40888-5_4&partnerID=40&md5=b8c8f425a498e1f59b592f8f4dc085e9","Due to embedded co-design considerations, testing embedded software is typically deferred after the integration phase. Contrasting with the current embedded engineering practices, Test-Driven Development (TDD) promotes testing software during its development, even before the target hardware becomes available. Principally, TDD promotes a fast feedback cycle in which a test is written before the implementation. Moreover, each test is added to a test suite, which runs at every step in the TDD cycle. As a consequence, test-driven code is well tested and maintainable. Still, embedded software has some typical properties which impose challenges to apply the TDD cycle. Essentially, uploading software to target is generally too time-consuming to frequently run tests on target. Secondary issues are hardware dependencies and limited resources, such as memory footprint or processing power. In order to deal with these limitations, four methods have been identified and evaluated. Furthermore, a number of relevant design patterns are discussed to apply TDD in an embedded environment. © 2014 Springer-Verlag Berlin Heidelberg.","","","Article","Final","","Scopus","2-s2.0-84958523962"
"Guerra E.; Aniche M.","Guerra, Eduardo (24476299600); Aniche, Maurício (36132835800)","24476299600; 36132835800","Achieving quality on software design through test-driven development","2016","Software Quality Assurance: In Large Scale and Complex Software-intensive Systems","","","","201","220","19","8","10.1016/B978-0-12-802301-3.00009-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017530149&doi=10.1016%2fB978-0-12-802301-3.00009-0&partnerID=40&md5=ae68880cde353c1e3f6408f2ea4ddd62","Test-driven development (TDD) is a technique for developing and designing software where tests are created before production code in short cycles. There is some discussion in the software engineering community on whether TDD can really be used to achieve software quality. Some experiments were conducted in the last years comparing development by using TDD with one creating tests after the production code. However, these experiments always have some threats to validity that prevent researchers from reaching a final answer about its effects. This chapter, instead of trying to prove that TDD is more effective than creating tests after, investigates projects where TDD was successfully used, and presents recurrent and common practices applied to its context. A common mistake is to believe that just by creating tests before production code will make the application design ""just happens."" As with any other technique, TDD is not a silver bullet, and while it certainly helps to achieve some desirable characteristics in software, such as decoupling and separation of concerns, other practices should complement its usage, especially for architecture and design coherence. In this chapter, we dive deep in TDD practice and how to perform it to achieve quality in software design. We also present techniques that should be used to setup a foundation to start TDD in project and to refine the design after it is applied. © 2016 Elsevier Inc. All rights reserved.","Patterns; Software architecture; Software design; Software quality; Test-driven development","Codes (symbols); Computer programming; Computer software selection and evaluation; Software architecture; Software testing; Testing; Application design; Designing softwares; Engineering community; Patterns; Separation of concerns; Short cycle; Software Quality; Test driven development; Software design","Book chapter","Final","","Scopus","2-s2.0-85017530149"
"Furuya H.; Hashimoto Y.; Yamane K.; Okada N.; Tadatomo K.","Furuya, H. (55134926200); Hashimoto, Y. (56019995400); Yamane, K. (55343012500); Okada, N. (56036800700); Tadatomo, K. (6603636953)","55134926200; 56019995400; 55343012500; 56036800700; 6603636953","Characterization of {11-22} GaN grown using two-step growth technique on shallowly etched r-plane patterned sapphire substrates","2014","Journal of Crystal Growth","391","","","41","45","4","7","10.1016/j.jcrysgro.2013.12.032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893169555&doi=10.1016%2fj.jcrysgro.2013.12.032&partnerID=40&md5=ff6f59f9e43319c12370a540ddd176e3","Previously, we succeeded in growing flat semipolar {11-22} GaN layers on an r-plane patterned sapphire substrate (r-PSS). However, the GaN layers still contain a dislocation density of over 3×108/cm2 and stacking faults (SFs). To reduce such defects, we employed shallowly etched r-PSSs. The etching depths of the shallowly etched r-PSSs were from 100 to 500 nm, whereas that of a conventional r-PSS was 1 μm. As a result, we found that the threading dislocation density (TDD) decreases as the etching depth decreases. The TDD of the {11-22} GaN layer on r-PSS etched to a depth of 100 nm was 1.3×108/cm2. Moreover, the reduction of the SFs was observed by photoluminescence at cryogenic temperature. The reduction of the defects revealed the growth mechanism; the crystalline quality of {11-22} GaN on an r-PSS depends on the selective growth area of the sapphire sidewall. © 2014 Elsevier B.V.","A1. Caracterization; A3. Metalorganic vapor phase epitaxy; B1. Nitrides; B2. Semiconducting gallium compounds","Defects; Etching; Metallorganic vapor phase epitaxy; Sapphire; Substrates; A1. Caracterization; Cryogenic temperatures; Crystalline quality; Dislocation densities; Growth mechanisms; Patterned sapphire substrate; Threading dislocation densities; Two-step growth technique; Gallium nitride","Article","Final","","Scopus","2-s2.0-84893169555"
"Kaur H.; Kaur P.J.","Kaur, Harvinder (57209183369); Kaur, Puneet Jai (55232267900)","57209183369; 55232267900","Optimized unit testing for antipattern detection","2014","ACM International Conference Proceeding Series","11-16-November-2014","","2677909","","","","0","10.1145/2677855.2677909","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985902355&doi=10.1145%2f2677855.2677909&partnerID=40&md5=255d6af0b4864fd1459ddc39e7070361","Antipatterns are poor design choices that are conjectured to make object oriented systems harder to maintain. We investigate the impact of antipatterns on classes in object-oriented systems by studying the relation between the presence of antipatterns and the change- and fault-proneness of the classes. Due to increased complexities in the software development, there is huge need of testing process to be carried on in better way. Also as the computer systems are significant to our society in everyday life and are performing an increasing number of critical tasks, so more work in software testing and analysis has become of great importance. Anti pattern testing is type of testing which is used to cut off the directly price associated with testing of different modules. This paper discusses various anti pattern detection techniques and proposes a new testing technique based on GUI for detection of anti patterns during software development.","Antipattern; Fault loop; Loose connectors; Maintenance development; Software development techniques","Design for testability; Object oriented programming; Pattern recognition; Software design; Anti-patterns; Critical tasks; Fault proneness; Object-oriented system; Software development techniques; Software testing and analysis; Testing process; Testing technique; Software testing","Conference paper","Final","","Scopus","2-s2.0-84985902355"
"Tiirola E.; Raaf B.; Lähetkangas E.; Harjula I.; Pajukoski K.","Tiirola, Esa (6508150642); Raaf, Bernhard (6506884792); Lähetkangas, Eeva (14523052700); Harjula, Ilkka (6507367344); Pajukoski, Kari (7801504966)","6508150642; 6506884792; 14523052700; 6507367344; 7801504966","On the design of discovery patterns for half-duplex TDD nodes operating in frame-based systems","2013","2013 Future Network and Mobile Summit, FutureNetworkSummit 2013","","","6633585","","","","6","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890020102&partnerID=40&md5=4030d0253c0347acb844703adff61a98","Future telecommunication systems need to support a discovery function, enabling all network nodes to discover each other directly over the air. In addition to discovery in traditional access point-to-user equipment (AP2UE) links, there is a need to support also other link types, such as device-to-device (D2D) communication and wireless backhauling. In this paper, we provide a design for discovery patterns and groups of patterns applicable to half-duplex time division duplexing (TDD) nodes operating in a frame based system. The proposed scheme allows an easy design of discovery patterns, which can be used for comprehensive bi-directional communication where all nodes are able to listen to each other. Proposed approach provides also an upper limit for the discovery time with an assumption that discovery signal is received correctly at the receiving node. We also support network topologies containing network elements of different hierarchies which require mono-directional discovery function among network nodes, e.g. from higher towards lower hierarchy levels. © 2013 Authors.","Discovery pattern; Half-duplex; LTE; TDD","Communication; Electric network topology; Mobile telecommunication systems; Bi-directional communication; Deviceto-device (D2D) communication; Discovery pattern; Half-duplex; LTE; TDD; Time division duplexing; Wireless backhauling; Design","Conference paper","Final","","Scopus","2-s2.0-84890020102"
"Arcuri A.; Fraser G.","Arcuri, Andrea (23097099900); Fraser, Gordon (9247521200)","23097099900; 9247521200","Java enterprise edition support in search-based JUnit test generation","2016","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","9962 LNCS","","","3","17","14","13","10.1007/978-3-319-47106-8_1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989881564&doi=10.1007%2f978-3-319-47106-8_1&partnerID=40&md5=6aeb4028b6070742ae563f01f0b9df5e","Many different techniques and tools for automated unit test generation target the Java programming languages due to its popularity. However, a lot of Java’s popularity is due to its usage to develop enterprise applications with frameworks such as Java Enterprise Edition (JEE) or Spring. These frameworks pose challenges to the automatic generation of JUnit tests. In particular, code units (""beans"") are handled by external web containers (e.g., WildFly and GlassFish). Without considering how web containers initialize these beans, automatically generated unit tests would not represent valid scenarios and would be of little use. For example, common issues of bean initialization are dependency injection, database connection, and JNDI bean lookup. In this paper, we extend the EvoSuite search-based JUnit test generation tool to provide initial support for JEE applications. Experiments on 247 classes (the JBoss EAP tutorial examples) reveal an increase in code coverage, and demonstrate that our techniques prevent the generation of useless tests (e.g., tests where dependencies are not injected). © Springer International Publishing AG 2016.","Automated unit test generation; Database; Java enterprise edition (JEE); Search-based testing","Computer programming; Containers; Database systems; Java programming language; Object oriented programming; Software engineering; Software testing; Automated units; Automatic Generation; Automatically generated; Database connections; Dependency injection; Enterprise applications; Java enterprise edition (JEE); Search-based testing; Automatic test pattern generation","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84989881564"
"Yeo W.-Y.; Moon S.H.; Kim J.-H.","Yeo, Woon-Young (7103397658); Moon, Sung Ho (58456990300); Kim, Jae-Hoon (57213175890)","7103397658; 58456990300; 57213175890","Uplink scheduling and adjacent-channel coupling loss analysis for TD-LTE deployment","2014","The Scientific World Journal","2014","","685102","","","","3","10.1155/2014/685102","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896378354&doi=10.1155%2f2014%2f685102&partnerID=40&md5=6e14ceef72623e132dc13b3f6271c340","TD-LTE, one of the two duplexing modes in LTE, operates in unpaired spectrum and has the advantages of TDD-based technologies. It is expected that TD-LTE will be more rapidly deployed in near future and most of WiMax operators will upgrade their networks to TD-LTE gradually. Before completely upgrading to TD-LTE, WiMax may coexist with TD-LTE in an adjacent frequency band. In addition, multiple TD-LTE operators may deploy their networks in adjacent bands. When more than one TDD network operates in adjacent frequency bands, severe interference may happen due to adjacent channel interference (ACI) and unsynchronized operations. In this paper, coexistence issues between TD-LTE and other systems are analyzed and coexistence requirements are provided. This paper has three research objectives. First, frame synchronization between TD-LTE and WiMax is discussed by investigating possible combinations of TD-LTE and WiMax configurations. Second, an uplink scheduling algorithm is proposed to utilize a leakage pattern of ACI in synchronized operations. Third, minimum requirements for coexistence in unsynchronized operations are analyzed by introducing a concept of adjacent-channel coupling loss. From the analysis and simulation results, we can see that coexistence of TD-LTE with other TDD systems is feasible if the two networks are synchronized. For the unsynchronized case, some special cell-site engineering techniques may be required to reduce the ACI. © 2014 Woon-Young Yeo et al.","","Computer Communication Networks; algorithm; analytic method; article; feasibility study; long term evolution; methodology; simulation; computer network","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84896378354"
"Rocha H.O.; Barreto R.S.; Cordeiro L.C.","Rocha, Herbert O. (55322320500); Barreto, Raimundo S. (35962062000); Cordeiro, Lucas C. (24328704500)","55322320500; 35962062000; 24328704500","Hunting memory bugs in C programs with Map2Check","2016","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","9636","","","934","937","3","6","10.1007/978-3-662-49674-9_64","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963994982&doi=10.1007%2f978-3-662-49674-9_64&partnerID=40&md5=74dbbd61ddec3648ee9fe98d05a8d002","Map2Check is a tool for automatically generating and checking unit tests for C programs. The generation of unit tests is based on assertions extracted from (memory) safety properties, which are generated by the ESBMC tool. In particular, Map2Check checks for SVCOMP invalid-free, invalid-dereference, and memory-leak properties in C programs. © Springer-Verlag Berlin Heidelberg 2016.","","Automatic test pattern generation; Program debugging; C programs; Memory leaks; Safety property; Unit tests; C (programming language)","Conference paper","Final","","Scopus","2-s2.0-84963994982"
